Khách hàng,Sản phẩm,Ngày mua,Giá trị,Xu hướng mua sắm,Số lượng,Độ tin cậy của khách hàng,Khu vực,Thời gian mua sắm,Phương pháp thanh toán,Chiến dịch quảng cáo
KH43,SP001,21/1/2022,322,Tăng,226,Cao,Khu vực C,Buổi sáng,Cao,CD41
KH44,SP001,26/1/2022,273,Tăng,167,Cao,Khu vực C,Buổi tối,Cao,CD35
KH45,SP005,11/1/2022,133,Giảm,118,Thấp,Khu vực A,Buổi chiều,Thấp,CD18
KH46,SP001,11/1/2022,235,Tăng,69,Cao,Khu vực C,Buổi tối,Cao,CD28
KH47,SP003,15/1/2022,201,Tăng,266,Thấp,Khu vực C,Buổi chiều,Cao,CD9
KH48,SP001,11/1/2022,80,Giảm,122,Cao,Khu vực B,Buổi sáng,Thấp,CD38
KH49,SP004,1/1/2022,443,Tăng,183,Trung bình,Khu vực C,Buổi sáng,Cao,CD24
KH50,SP004,21/1/2022,108,Giảm,187,Cao,Khu vực B,Buổi tối,Cao,CD48
KH51,SP002,1/1/2022,470,Tăng,197,Cao,Khu vực C,Buổi chiều,Thấp,CD5
KH52,SP002,8/1/2022,492,Tăng,153,Thấp,Khu vực B,Buổi tối,Thấp,CD12
KH53,SP004,25/1/2022,349,Tăng,92,Trung bình,Khu vực C,Buổi tối,Thấp,CD18
KH54,SP004,13/1/2022,59,Giảm,97,Trung bình,Khu vực B,Buổi sáng,Cao,CD23
KH55,SP001,9/1/2022,413,Tăng,147,Cao,Khu vực A,Buổi chiều,Thấp,CD49
KH56,SP001,18/1/2022,183,Giảm,249,Thấp,Khu vực A,Buổi tối,Thấp,CD47
KH57,SP002,25/1/2022,218,Tăng,271,Thấp,Khu vực B,Buổi sáng,Cao,CD13
KH58,SP004,21/1/2022,249,Tăng,83,Trung bình,Khu vực C,Buổi sáng,Thấp,CD11
KH59,SP003,6/1/2022,285,Tăng,110,Thấp,Khu vực A,Buổi tối,Cao,CD31
KH60,SP002,14/1/2022,273,Tăng,291,Trung bình,Khu vực A,Buổi tối,Cao,CD27
KH61,SP002,9/1/2022,321,Tăng,216,Thấp,Khu vực B,Buổi tối,Thấp,CD19
KH62,SP004,31/1/2022,436,Tăng,240,Thấp,Khu vực B,Buổi chiều,Thấp,CD21
KH63,SP005,31/1/2022,135,Giảm,116,Cao,Khu vực A,Buổi chiều,Thấp,CD21
KH64,SP004,14/1/2022,401,Tăng,144,Cao,Khu vực C,Buổi sáng,Thấp,CD47
KH65,SP001,1/1/2022,373,Tăng,123,Cao,Khu vực A,Buổi sáng,Thấp,CD16
KH66,SP004,8/1/2022,372,Tăng,55,Trung bình,Khu vực C,Buổi chiều,Thấp,CD48
KH67,SP004,14/1/2022,98,Giảm,155,Cao,Khu vực B,Buổi chiều,Cao,CD17
KH68,SP003,4/1/2022,246,Tăng,187,Cao,Khu vực A,Buổi tối,Cao,CD29
KH69,SP005,24/1/2022,236,Tăng,270,Trung bình,Khu vực A,Buổi chiều,Cao,CD30
KH70,SP003,25/1/2022,131,Giảm,100,Thấp,Khu vực B,Buổi tối,Cao,CD27
KH71,SP003,11/1/2022,451,Tăng,81,Trung bình,Khu vực A,Buổi tối,Thấp,CD38
KH72,SP003,31/1/2022,182,Giảm,212,Thấp,Khu vực C,Buổi sáng,Thấp,CD1
KH73,SP004,25/1/2022,152,Giảm,210,Cao,Khu vực A,Buổi chiều,Cao,CD20
KH74,SP001,17/1/2022,333,Tăng,205,Thấp,Khu vực C,Buổi sáng,Cao,CD40
KH75,SP003,31/1/2022,179,Giảm,266,Thấp,Khu vực C,Buổi sáng,Thấp,CD24
KH76,SP004,31/1/2022,185,Giảm,187,Trung bình,Khu vực B,Buổi sáng,Thấp,CD43
KH77,SP003,14/1/2022,466,Tăng,172,Trung bình,Khu vực B,Buổi sáng,Cao,CD41
KH78,SP005,23/1/2022,251,Tăng,100,Thấp,Khu vực C,Buổi chiều,Cao,CD41
KH79,SP002,24/1/2022,368,Tăng,212,Thấp,Khu vực C,Buổi tối,Cao,CD41
KH80,SP005,19/1/2022,159,Giảm,196,Thấp,Khu vực A,Buổi tối,Cao,CD10
KH81,SP003,9/1/2022,426,Tăng,36,Cao,Khu vực A,Buổi sáng,Cao,CD17
KH82,SP003,14/1/2022,319,Tăng,258,Cao,Khu vực A,Buổi chiều,Thấp,CD24
KH83,SP005,15/1/2022,428,Tăng,277,Trung bình,Khu vực C,Buổi chiều,Cao,CD35
KH84,SP003,6/1/2022,80,Giảm,111,Cao,Khu vực B,Buổi tối,Thấp,CD7
KH85,SP004,31/1/2022,82,Giảm,42,Cao,Khu vực B,Buổi sáng,Thấp,CD37
KH86,SP004,17/1/2022,243,Tăng,91,Trung bình,Khu vực B,Buổi sáng,Thấp,CD6
KH87,SP002,25/1/2022,214,Tăng,108,Trung bình,Khu vực B,Buổi chiều,Cao,CD1
KH88,SP004,26/1/2022,258,Tăng,108,Trung bình,Khu vực C,Buổi tối,Cao,CD3
KH89,SP004,26/1/2022,232,Tăng,74,Thấp,Khu vực C,Buổi chiều,Cao,CD34
KH90,SP002,3/1/2022,462,Tăng,176,Trung bình,Khu vực C,Buổi chiều,Thấp,CD45
KH91,SP003,21/1/2022,489,Tăng,218,Thấp,Khu vực B,Buổi chiều,Thấp,CD42
KH92,SP003,6/1/2022,147,Giảm,158,Trung bình,Khu vực B,Buổi sáng,Thấp,CD30
KH93,SP002,7/1/2022,105,Giảm,181,Cao,Khu vực C,Buổi sáng,Cao,CD32
KH94,SP001,28/1/2022,300,Tăng,69,Thấp,Khu vực A,Buổi chiều,Cao,CD40
KH95,SP002,31/1/2022,430,Tăng,280,Trung bình,Khu vực B,Buổi tối,Thấp,CD23
KH96,SP003,1/1/2022,182,Giảm,127,Trung bình,Khu vực B,Buổi sáng,Cao,CD26
KH97,SP001,14/1/2022,130,Giảm,46,Thấp,Khu vực C,Buổi tối,Thấp,CD32
KH98,SP005,26/1/2022,51,Giảm,77,Thấp,Khu vực A,Buổi chiều,Cao,CD2
KH99,SP004,21/1/2022,375,Tăng,168,Cao,Khu vực B,Buổi tối,Thấp,CD35
KH100,SP005,28/1/2022,395,Tăng,198,Trung bình,Khu vực C,Buổi tối,Thấp,CD11
KH101,SP004,7/1/2022,225,Tăng,226,Thấp,Khu vực B,Buổi sáng,Thấp,CD38
KH102,SP001,5/1/2022,63,Giảm,151,Cao,Khu vực C,Buổi sáng,Thấp,CD23
KH103,SP002,23/1/2022,497,Tăng,277,Cao,Khu vực A,Buổi sáng,Cao,CD33
KH104,SP003,17/1/2022,348,Tăng,247,Cao,Khu vực C,Buổi sáng,Thấp,CD36
KH105,SP003,21/1/2022,381,Tăng,77,Trung bình,Khu vực C,Buổi sáng,Thấp,CD40
KH106,SP003,4/1/2022,365,Tăng,206,Thấp,Khu vực B,Buổi chiều,Thấp,CD4
KH107,SP005,28/1/2022,485,Tăng,291,Trung bình,Khu vực A,Buổi chiều,Cao,CD33
KH108,SP002,16/1/2022,440,Tăng,220,Cao,Khu vực A,Buổi tối,Cao,CD6
KH109,SP005,14/1/2022,451,Tăng,271,Thấp,Khu vực A,Buổi sáng,Cao,CD35
KH110,SP001,19/1/2022,380,Tăng,130,Cao,Khu vực A,Buổi chiều,Thấp,CD4
KH111,SP001,1/1/2022,326,Tăng,84,Trung bình,Khu vực B,Buổi chiều,Thấp,CD3
KH112,SP002,8/1/2022,350,Tăng,239,Thấp,Khu vực C,Buổi chiều,Cao,CD13
KH113,SP001,1/1/2022,154,Giảm,198,Cao,Khu vực A,Buổi tối,Cao,CD5
KH114,SP005,8/1/2022,393,Tăng,297,Thấp,Khu vực C,Buổi sáng,Cao,CD47
KH115,SP004,31/1/2022,353,Tăng,139,Trung bình,Khu vực B,Buổi sáng,Cao,CD36
KH116,SP002,3/1/2022,118,Giảm,34,Thấp,Khu vực B,Buổi tối,Cao,CD3
KH117,SP002,24/1/2022,173,Giảm,296,Cao,Khu vực B,Buổi tối,Cao,CD40
KH118,SP003,21/1/2022,431,Tăng,37,Trung bình,Khu vực C,Buổi tối,Thấp,CD37
KH119,SP004,31/1/2022,451,Tăng,117,Cao,Khu vực C,Buổi tối,Cao,CD14
KH120,SP001,25/1/2022,340,Tăng,83,Thấp,Khu vực C,Buổi sáng,Cao,CD21
KH121,SP001,24/1/2022,294,Tăng,228,Cao,Khu vực A,Buổi chiều,Cao,CD15
KH122,SP003,21/1/2022,78,Giảm,282,Trung bình,Khu vực B,Buổi chiều,Cao,CD44
KH123,SP003,5/1/2022,347,Tăng,159,Thấp,Khu vực A,Buổi tối,Cao,CD28
KH124,SP003,18/1/2022,194,Giảm,210,Trung bình,Khu vực B,Buổi sáng,Thấp,CD48
KH125,SP004,28/1/2022,193,Giảm,94,Cao,Khu vực B,Buổi tối,Thấp,CD11
KH126,SP003,11/1/2022,201,Tăng,230,Thấp,Khu vực B,Buổi sáng,Thấp,CD2
KH127,SP005,16/1/2022,130,Giảm,241,Thấp,Khu vực C,Buổi tối,Thấp,CD18
KH128,SP001,9/1/2022,232,Tăng,190,Thấp,Khu vực B,Buổi chiều,Cao,CD30
KH129,SP002,11/1/2022,448,Tăng,36,Thấp,Khu vực C,Buổi sáng,Cao,CD27
KH130,SP001,7/1/2022,227,Tăng,153,Thấp,Khu vực B,Buổi tối,Thấp,CD31
KH131,SP001,1/1/2022,481,Tăng,167,Trung bình,Khu vực A,Buổi sáng,Thấp,CD27
KH132,SP004,29/1/2022,212,Tăng,176,Cao,Khu vực B,Buổi chiều,Thấp,CD39
KH133,SP005,11/1/2022,157,Giảm,73,Thấp,Khu vực B,Buổi tối,Cao,CD22
KH134,SP001,27/1/2022,103,Giảm,79,Thấp,Khu vực A,Buổi sáng,Cao,CD29
KH135,SP005,5/1/2022,415,Tăng,113,Thấp,Khu vực B,Buổi sáng,Thấp,CD35
KH136,SP003,7/1/2022,284,Tăng,111,Thấp,Khu vực A,Buổi chiều,Thấp,CD41
KH137,SP003,7/1/2022,385,Tăng,124,Trung bình,Khu vực A,Buổi chiều,Cao,CD46
KH138,SP005,5/1/2022,223,Tăng,250,Thấp,Khu vực C,Buổi tối,Cao,CD10
KH139,SP002,11/1/2022,206,Tăng,203,Cao,Khu vực B,Buổi chiều,Cao,CD41
KH140,SP004,27/1/2022,336,Tăng,90,Thấp,Khu vực C,Buổi chiều,Cao,CD33
KH141,SP003,5/1/2022,451,Tăng,233,Cao,Khu vực C,Buổi tối,Cao,CD5
KH142,SP004,5/1/2022,253,Tăng,292,Thấp,Khu vực B,Buổi chiều,Thấp,CD27
KH143,SP001,21/1/2022,424,Tăng,140,Thấp,Khu vực A,Buổi sáng,Thấp,CD48
KH144,SP002,1/1/2022,388,Tăng,171,Cao,Khu vực C,Buổi chiều,Cao,CD44
KH145,SP001,9/1/2022,150,Giảm,98,Cao,Khu vực C,Buổi chiều,Cao,CD39
KH146,SP001,14/1/2022,450,Tăng,142,Cao,Khu vực C,Buổi chiều,Thấp,CD30
KH147,SP001,18/1/2022,113,Giảm,160,Trung bình,Khu vực B,Buổi tối,Thấp,CD9
KH148,SP002,4/1/2022,336,Tăng,190,Cao,Khu vực C,Buổi sáng,Cao,CD13
KH149,SP005,4/1/2022,112,Giảm,251,Cao,Khu vực A,Buổi tối,Cao,CD14
KH150,SP004,7/1/2022,432,Tăng,38,Thấp,Khu vực C,Buổi sáng,Cao,CD45
KH151,SP003,8/1/2022,384,Tăng,156,Thấp,Khu vực C,Buổi tối,Thấp,CD27
KH152,SP001,8/1/2022,468,Tăng,241,Cao,Khu vực C,Buổi sáng,Thấp,CD32
KH153,SP002,7/1/2022,442,Tăng,120,Cao,Khu vực A,Buổi sáng,Cao,CD15
KH154,SP003,8/1/2022,359,Tăng,35,Cao,Khu vực A,Buổi chiều,Cao,CD20
KH155,SP001,7/1/2022,398,Tăng,281,Trung bình,Khu vực A,Buổi sáng,Thấp,CD5
KH156,SP002,6/1/2022,239,Tăng,208,Thấp,Khu vực B,Buổi sáng,Cao,CD48
KH157,SP002,1/1/2022,90,Giảm,32,Thấp,Khu vực C,Buổi sáng,Cao,CD12
KH158,SP002,21/1/2022,456,Tăng,98,Trung bình,Khu vực B,Buổi sáng,Thấp,CD14
KH159,SP001,16/1/2022,350,Tăng,41,Thấp,Khu vực C,Buổi chiều,Thấp,CD6
KH160,SP005,11/1/2022,142,Giảm,148,Thấp,Khu vực A,Buổi tối,Thấp,CD34
KH161,SP005,1/1/2022,188,Giảm,182,Trung bình,Khu vực A,Buổi tối,Thấp,CD13
KH162,SP005,14/1/2022,77,Giảm,209,Trung bình,Khu vực C,Buổi tối,Thấp,CD32
KH163,SP003,8/1/2022,393,Tăng,258,Thấp,Khu vực C,Buổi sáng,Thấp,CD32
KH164,SP002,13/1/2022,276,Tăng,157,Trung bình,Khu vực A,Buổi sáng,Thấp,CD41
KH165,SP003,13/1/2022,385,Tăng,154,Trung bình,Khu vực B,Buổi sáng,Cao,CD50
KH166,SP004,27/1/2022,433,Tăng,248,Thấp,Khu vực A,Buổi sáng,Thấp,CD16
KH167,SP005,6/1/2022,170,Giảm,182,Cao,Khu vực A,Buổi sáng,Thấp,CD17
KH168,SP001,7/1/2022,263,Tăng,299,Thấp,Khu vực B,Buổi chiều,Thấp,CD35
KH169,SP003,11/1/2022,445,Tăng,153,Cao,Khu vực B,Buổi sáng,Thấp,CD27
KH170,SP005,1/1/2022,460,Tăng,274,Thấp,Khu vực B,Buổi sáng,Thấp,CD36
KH171,SP002,28/1/2022,275,Tăng,135,Thấp,Khu vực B,Buổi tối,Cao,CD3
KH172,SP003,25/1/2022,380,Tăng,273,Thấp,Khu vực A,Buổi chiều,Cao,CD3
KH173,SP003,11/1/2022,364,Tăng,195,Trung bình,Khu vực A,Buổi tối,Thấp,CD49
KH174,SP004,21/1/2022,381,Tăng,248,Cao,Khu vực B,Buổi tối,Cao,CD19
KH175,SP002,21/1/2022,494,Tăng,246,Trung bình,Khu vực A,Buổi sáng,Cao,CD28
KH176,SP002,5/1/2022,226,Tăng,52,Trung bình,Khu vực A,Buổi tối,Cao,CD30
KH177,SP001,4/1/2022,185,Giảm,265,Cao,Khu vực A,Buổi chiều,Thấp,CD25
KH178,SP005,29/1/2022,402,Tăng,62,Thấp,Khu vực A,Buổi sáng,Cao,CD23
KH179,SP005,1/1/2022,103,Giảm,299,Thấp,Khu vực B,Buổi sáng,Thấp,CD48
KH180,SP003,9/1/2022,420,Tăng,180,Thấp,Khu vực A,Buổi tối,Thấp,CD43
KH181,SP002,18/1/2022,120,Giảm,88,Thấp,Khu vực B,Buổi sáng,Cao,CD24
KH182,SP003,3/1/2022,296,Tăng,283,Cao,Khu vực C,Buổi sáng,Thấp,CD44
KH183,SP002,24/1/2022,114,Giảm,142,Thấp,Khu vực A,Buổi tối,Thấp,CD4
KH184,SP005,1/1/2022,429,Tăng,70,Trung bình,Khu vực B,Buổi tối,Thấp,CD37
KH185,SP002,23/1/2022,385,Tăng,276,Trung bình,Khu vực B,Buổi tối,Thấp,CD2
KH186,SP005,13/1/2022,309,Tăng,56,Cao,Khu vực A,Buổi chiều,Cao,CD49
KH187,SP002,14/1/2022,392,Tăng,202,Thấp,Khu vực A,Buổi chiều,Cao,CD9
KH188,SP005,31/1/2022,160,Giảm,88,Thấp,Khu vực C,Buổi tối,Thấp,CD7
KH189,SP002,17/1/2022,152,Giảm,240,Thấp,Khu vực B,Buổi sáng,Thấp,CD19
KH190,SP002,27/1/2022,478,Tăng,140,Thấp,Khu vực C,Buổi tối,Cao,CD46
KH191,SP003,5/1/2022,480,Tăng,99,Thấp,Khu vực A,Buổi sáng,Cao,CD18
KH192,SP004,23/1/2022,224,Tăng,227,Thấp,Khu vực A,Buổi sáng,Cao,CD34
KH193,SP005,9/1/2022,160,Giảm,291,Cao,Khu vực C,Buổi chiều,Thấp,CD5
KH194,SP005,23/1/2022,305,Tăng,169,Trung bình,Khu vực B,Buổi sáng,Thấp,CD23
KH195,SP003,1/1/2022,104,Giảm,235,Trung bình,Khu vực B,Buổi sáng,Thấp,CD2
KH196,SP004,26/1/2022,63,Giảm,265,Cao,Khu vực C,Buổi tối,Thấp,CD18
KH197,SP001,1/1/2022,76,Giảm,264,Cao,Khu vực A,Buổi sáng,Cao,CD31
KH198,SP003,21/1/2022,137,Giảm,117,Trung bình,Khu vực B,Buổi sáng,Cao,CD18
KH199,SP001,19/1/2022,109,Giảm,72,Cao,Khu vực B,Buổi sáng,Thấp,CD2
KH200,SP002,16/1/2022,274,Tăng,67,Trung bình,Khu vực C,Buổi sáng,Cao,CD49
KH201,SP002,6/1/2022,486,Tăng,84,Cao,Khu vực B,Buổi tối,Thấp,CD22
KH202,SP002,4/1/2022,148,Giảm,96,Thấp,Khu vực C,Buổi sáng,Cao,CD13
KH203,SP005,29/1/2022,96,Giảm,51,Thấp,Khu vực B,Buổi chiều,Thấp,CD46
KH204,SP003,8/1/2022,284,Tăng,131,Thấp,Khu vực C,Buổi chiều,Thấp,CD22
KH205,SP002,11/1/2022,442,Tăng,103,Thấp,Khu vực A,Buổi tối,Cao,CD48
KH206,SP001,31/1/2022,447,Tăng,147,Trung bình,Khu vực B,Buổi tối,Thấp,CD13
KH207,SP003,15/1/2022,263,Tăng,242,Trung bình,Khu vực C,Buổi chiều,Thấp,CD20
KH208,SP002,6/1/2022,390,Tăng,276,Trung bình,Khu vực C,Buổi sáng,Thấp,CD11
KH209,SP002,1/1/2022,166,Giảm,182,Trung bình,Khu vực B,Buổi tối,Thấp,CD31
KH210,SP002,31/1/2022,343,Tăng,291,Trung bình,Khu vực B,Buổi tối,Cao,CD27
KH211,SP001,1/1/2022,221,Tăng,142,Thấp,Khu vực C,Buổi tối,Cao,CD27
KH212,SP001,31/1/2022,405,Tăng,97,Thấp,Khu vực B,Buổi chiều,Thấp,CD36
KH213,SP001,7/1/2022,315,Tăng,143,Cao,Khu vực C,Buổi chiều,Thấp,CD26
KH214,SP005,29/1/2022,85,Giảm,37,Trung bình,Khu vực B,Buổi sáng,Cao,CD47
KH215,SP004,29/1/2022,126,Giảm,241,Cao,Khu vực A,Buổi chiều,Thấp,CD29
KH216,SP002,13/1/2022,167,Giảm,292,Cao,Khu vực B,Buổi sáng,Cao,CD49
KH217,SP003,29/1/2022,123,Giảm,173,Cao,Khu vực C,Buổi tối,Thấp,CD31
KH218,SP004,1/1/2022,266,Tăng,85,Thấp,Khu vực C,Buổi tối,Cao,CD45
KH219,SP002,13/1/2022,87,Giảm,127,Trung bình,Khu vực A,Buổi chiều,Thấp,CD37
KH220,SP004,27/1/2022,144,Giảm,239,Thấp,Khu vực B,Buổi tối,Thấp,CD10
KH221,SP001,21/1/2022,100,Giảm,217,Cao,Khu vực C,Buổi tối,Thấp,CD2
KH222,SP003,6/1/2022,317,Tăng,188,Trung bình,Khu vực C,Buổi chiều,Thấp,CD36
KH223,SP004,28/1/2022,311,Tăng,105,Thấp,Khu vực A,Buổi sáng,Thấp,CD25
KH224,SP003,27/1/2022,444,Tăng,267,Cao,Khu vực C,Buổi sáng,Thấp,CD1
KH225,SP002,19/1/2022,458,Tăng,219,Trung bình,Khu vực B,Buổi sáng,Thấp,CD27
KH226,SP001,21/1/2022,284,Tăng,214,Trung bình,Khu vực C,Buổi sáng,Thấp,CD24
KH227,SP005,8/1/2022,312,Tăng,290,Trung bình,Khu vực A,Buổi sáng,Thấp,CD42
KH228,SP004,14/1/2022,336,Tăng,153,Cao,Khu vực C,Buổi tối,Cao,CD45
KH229,SP005,27/1/2022,329,Tăng,128,Cao,Khu vực A,Buổi chiều,Thấp,CD11
KH230,SP002,21/1/2022,220,Tăng,102,Thấp,Khu vực A,Buổi chiều,Cao,CD28
KH231,SP005,26/1/2022,261,Tăng,269,Trung bình,Khu vực A,Buổi chiều,Thấp,CD20
KH232,SP002,6/1/2022,117,Giảm,254,Trung bình,Khu vực C,Buổi tối,Cao,CD41
KH233,SP002,13/1/2022,442,Tăng,129,Thấp,Khu vực B,Buổi sáng,Cao,CD20
KH234,SP004,19/1/2022,231,Tăng,109,Cao,Khu vực B,Buổi sáng,Cao,CD10
KH235,SP004,18/1/2022,264,Tăng,295,Cao,Khu vực A,Buổi chiều,Cao,CD5
KH236,SP004,6/1/2022,410,Tăng,62,Trung bình,Khu vực C,Buổi chiều,Cao,CD9
KH237,SP002,18/1/2022,99,Giảm,215,Thấp,Khu vực C,Buổi chiều,Thấp,CD36
KH238,SP003,4/1/2022,160,Giảm,184,Cao,Khu vực B,Buổi tối,Thấp,CD2
KH239,SP004,3/1/2022,421,Tăng,277,Thấp,Khu vực A,Buổi sáng,Thấp,CD23
KH240,SP004,19/1/2022,67,Giảm,125,Trung bình,Khu vực A,Buổi chiều,Thấp,CD5
KH241,SP003,17/1/2022,368,Tăng,234,Thấp,Khu vực A,Buổi tối,Thấp,CD36
KH242,SP002,8/1/2022,321,Tăng,73,Cao,Khu vực A,Buổi sáng,Cao,CD19
KH243,SP002,29/1/2022,94,Giảm,219,Thấp,Khu vực B,Buổi tối,Cao,CD22
KH244,SP005,11/1/2022,111,Giảm,222,Trung bình,Khu vực A,Buổi tối,Thấp,CD10
KH245,SP004,3/1/2022,474,Tăng,150,Thấp,Khu vực B,Buổi chiều,Thấp,CD30
KH246,SP001,26/1/2022,331,Tăng,278,Trung bình,Khu vực A,Buổi sáng,Thấp,CD18
KH247,SP003,4/1/2022,301,Tăng,106,Thấp,Khu vực A,Buổi chiều,Cao,CD20
KH248,SP004,9/1/2022,103,Giảm,127,Cao,Khu vực A,Buổi sáng,Cao,CD6
KH249,SP004,14/1/2022,267,Tăng,44,Trung bình,Khu vực C,Buổi sáng,Thấp,CD29
KH250,SP002,28/1/2022,286,Tăng,227,Trung bình,Khu vực B,Buổi chiều,Cao,CD24
KH251,SP002,15/1/2022,319,Tăng,137,Cao,Khu vực C,Buổi chiều,Thấp,CD48
KH252,SP003,28/1/2022,231,Tăng,202,Cao,Khu vực A,Buổi sáng,Cao,CD49
KH253,SP001,17/1/2022,366,Tăng,68,Cao,Khu vực A,Buổi chiều,Cao,CD29
KH254,SP003,9/1/2022,283,Tăng,257,Cao,Khu vực A,Buổi chiều,Thấp,CD4
KH255,SP003,15/1/2022,420,Tăng,219,Trung bình,Khu vực C,Buổi tối,Cao,CD29
KH256,SP005,5/1/2022,479,Tăng,225,Trung bình,Khu vực A,Buổi chiều,Thấp,CD29
KH257,SP003,24/1/2022,117,Giảm,159,Cao,Khu vực C,Buổi tối,Cao,CD48
KH258,SP005,11/1/2022,377,Tăng,164,Thấp,Khu vực A,Buổi chiều,Cao,CD50
KH259,SP003,1/1/2022,149,Giảm,243,Thấp,Khu vực A,Buổi tối,Cao,CD23
KH260,SP002,28/1/2022,320,Tăng,280,Trung bình,Khu vực B,Buổi sáng,Cao,CD7
KH261,SP001,31/1/2022,347,Tăng,94,Cao,Khu vực B,Buổi tối,Cao,CD25
KH262,SP004,14/1/2022,446,Tăng,236,Cao,Khu vực B,Buổi chiều,Thấp,CD30
KH263,SP003,7/1/2022,338,Tăng,66,Thấp,Khu vực C,Buổi chiều,Thấp,CD19
KH264,SP002,23/1/2022,429,Tăng,36,Trung bình,Khu vực A,Buổi chiều,Thấp,CD22
